MatchID,InningsNo,DeliveryID,bowler,striker,non_striker,ExtraNB,Overstep,Beamer,Fielder,Bouncer,MultiBounce,KnockStumps,OutsidePitch,WrongCall
2019-04-07-rajasthan-royals-kolkata-knight-riders,1st innings,18.6,M Prasidh Krishna,BA Stokes,SPD Smith,1,0,1,,,,,,
2019-04-07-royal-challengers-bangalore-delhi-capitals,1st innings,18.4,CH Morris,Mohammed Siraj,TG Southee,1,0,1,,,,,,
2019-04-07-royal-challengers-bangalore-delhi-capitals,2nd innings,4.1,NA Saini,SS Iyer,PP Shaw,1,1,,,,,,,
2019-04-09-kolkata-knight-riders-chennai-super-kings,2nd innings,5.4,M Prasidh Krishna,AT Rayudu,F du Plessis,1,1,,,,,,,
2019-04-09-kolkata-knight-riders-chennai-super-kings,2nd innings,16.3,HF Gurney,KM Jadhav,F du Plessis,1,1,,,,,,,
2019-04-10-kings-xi-punjab-mumbai-indians,2nd innings,19.1,AS Rajpoot,KA Pollard,AS Joseph,1,1,,,,,,,
2019-04-11-rajasthan-royals-chennai-super-kings,2nd innings,19.2,BA Stokes,RA Jadeja,MS Dhoni,1,1,0,,,,,,
2019-04-12-kolkata-knight-riders-delhi-capitals,1st innings,6.2,KMA Paul,Shubman Gill,RV Uthappa,1,1,,,,,,,
2019-04-14-delhi-capitals-sunrisers-hyderabad,1st innings,19.1,B Kumar,AR Patel,KMA Paul,1,0,0,1,,,,,
2019-04-14-delhi-capitals-sunrisers-hyderabad,2nd innings,9.4,KMA Paul,JM Bairstow,DA Warner,1,1,,,,,,,
2019-04-16-kings-xi-punjab-rajasthan-royals,1st innings,16.2,JC Archer,DA Miller,KL Rahul,1,1,,,,,,,
2019-04-18-mumbai-indians-delhi-capitals,1st innings,5.6,KMA Paul,RG Sharma,Q de Kock,1,0,1,,,,,,
2019-04-20-kings-xi-punjab-delhi-capitals,2nd innings,7.2,M Ashwin,SS Iyer,S Dhawan,1,0,0,0,0,1,,,
2019-04-20-kings-xi-punjab-delhi-capitals,2nd innings,10.4,SM Curran,S Dhawan,SS Iyer,1,0,1,,,,,,
2019-04-21-royal-challengers-bangalore-chennai-super-kings,2nd innings,18.3,NA Saini,MS Dhoni,DJ Bravo,1,1,,,,,,,
2019-04-22-rajasthan-royals-delhi-capitals,2nd innings,16.1,S Gopal,RR Pant,PP Shaw,1,0,1,,,,,,
2019-04-24-royal-challengers-bangalore-kings-xi-punjab,1st innings,2.3,AS Rajpoot,PA Patel,V Kohli,1,1,,,,,,,
2019-04-24-royal-challengers-bangalore-kings-xi-punjab,1st innings,2.4,AS Rajpoot,PA Patel,V Kohli,1,1,,,,,,,
2019-04-25-kolkata-knight-riders-rajasthan-royals,1st innings,16.6,O Thomas,CR Brathwaite,KD Karthik,1,1,,,,,,,
2019-04-26-mumbai-indians-chennai-super-kings,2nd innings,13.3,HH Pandya,MJ Santner,DJ Bravo,1,1,,,,,,,1
